School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Avg,Season
Kent State,1,1,8,4,153,NA,MAC,21-13,21,13,103.4370661287298,168,102.29236817847882,147,0.531950277591659,148,10-8,0.4537239964361318,0.38079037436377927,0.4850542044355616,0.5555555555555556,-7.290223303125472,152,157.5,2017
Kentucky,1,1,9,1,4,NA,SEC,28-5,28,5,118.81049812704087,14,91.90268961957611,14,0.950414227307542,7,16-2,0.7125215137790744,0.5882227733915033,0.7902462238170083,0.8888888888888888,8.425010735262383,4,14,2017
La Salle,0,0,4,7,135,NA,A10,15-15,15,15,109.42726258830126,67,107.09279937478709,237,0.561681623756615,138,9-9,0.5773859087538911,0.5521505977692528,0.5829070102405918,0.5,-7.056900243917169,149,152,2017
Lafayette,0,0,3,9,321,NA,Pat,8-21,8,21,94.64488487078366,321,112.43545946751672,318,0.12122861958382501,331,5-13,0.4047839203360751,0.4445899614583844,0.3858192803010962,0.2777777777777778,-15.996645416829306,309,319.5,2017
Lamar,0,0,7,5,231,NA,Slnd,15-14,15,14,102.70346409917661,188,107.93363141273142,259,0.360957052901059,222,10-8,0.32179270909234764,0.40229321700330317,0.28179833615673994,0.5555555555555556,-10.78749450245721,216,223.5,2017
Lehigh,0,0,8,2,99,NA,Pat,19-12,19,12,105.47919551065846,133,102.80601166498042,160,0.5732696527540263,134,12-6,0.42423486537591815,0.5630261449174195,0.33625940265627646,0.6666666666666666,-6.330711238960046,134,146.5,2017
Liberty,0,0,9,3,173,NA,BSth,16-13,16,13,97.4751023263247,278,102.10561183374726,141,0.36964895678891496,217,14-4,0.39091758639384333,0.5832291884510161,0.29526663985526125,0.7777777777777778,-8.298314936790055,171,209.5,2017
Lipscomb,0,0,9,2,188,NA,ASun,17-13,17,13,106.10418022437968,114,106.0371815350997,220,0.5018159626160181,160,11-3,0.39653157792788313,0.5145541316884115,0.30596919279715146,0.7857142857142857,-8.1429810615648055,170,167,2017
Little Rock,0,0,3,10,246,NA,SB,13-17,13,17,97.51829758728428,276,104.06950764997548,180,0.32131865459244174,237,6-12,0.4291092572326059,0.3628702517324137,0.46403900651163493,0.3333333333333333,-12.094202720340665,247,228,2017
Long Island University,0,0,8,2,222,NA,NEC,19-12,19,12,98.81118241863376,256,106.6683702981776,229,0.2931964657460853,255,13-5,0.2885918673471645,0.37462428202579384,0.23520401430869697,0.7222222222222222,-8.78355783637262,181,242.5,2017
Longwood,0,0,0,9,342,NA,BSth,4-24,4,24,91.15473964397741,342,117.78775761244626,345,0.04984309373825088,346,3-15,0.3764101395767126,0.4819671747922325,0.3308986723682728,0.16666666666666666,-19.60211929027686,342,343.5,2017
Louisiana,0,0,7,6,111,NA,SB,19-12,19,12,109.81027349267816,62,108.706850262929,268,0.5290028307108859,152,10-8,0.46185049077166496,0.42417138750978967,0.4833017941857452,0.5555555555555556,-6.447378601019693,138,165,2017
Louisiana-Monroe,0,0,2,12,295,NA,SB,7-24,7,24,97.62378135317607,275,104.99050134096461,201,0.30224908717298893,249,2-16,0.4820985845570103,0.42715992522272966,0.5079405803386404,0.1111111111111111,-18.023806779877276,330,238,2017
Louisiana State,0,0,1,13,191,NA,SEC,10-21,10,21,108.13469040571638,86,109.45898512572319,287,0.4650615823154272,180,2-16,0.7096795350526531,0.5856963058625771,0.7951863038565681,0.1111111111111111,-8.898844599418368,182,186.5,2017
Louisiana Tech,0,0,9,2,116,NA,CUSA,21-10,21,10,106.42708286978336,113,99.81405900547887,94,0.676500787507347,95,14-4,0.3885106769815781,0.40460397836385603,0.3676476338303656,0.7777777777777778,-4.84114635514792,103,103.5,2017
Louisville,1,0,8,2,7,NA,ACC,24-8,24,8,117.64909907508181,19,90.0547267812772,6,0.9557999329898654,6,12-6,0.7594256925067318,0.6144517493976933,0.8536935680148703,0.6666666666666666,6.743528565129258,9,12.5,2017
Loyola (IL),0,0,5,5,182,NA,MVC,16-14,16,14,107.63094596114036,98,101.07909682970765,115,0.6731035883148594,97,8-10,0.5096123932932375,0.43040094027832637,0.5597635687290246,0.4444444444444444,-7.334800231984118,155,106.5,2017
Loyola (MD),0,0,5,6,215,NA,Pat,14-16,14,16,97.28689906840961,287,105.66014636023262,213,0.2789894951646295,262,8-10,0.40155011342770647,0.4816518465635041,0.36824805528474763,0.4444444444444444,-10.708437483198665,214,250,2017
Loyola Marymount,0,0,6,6,149,NA,WCC,14-15,14,15,101.84906895048258,206,102.0941058234109,139,0.4930918353037368,164,8-10,0.5301711495562451,0.4420532683576287,0.5672010816312519,0.4444444444444444,-7.278143482141777,151,172.5,2017
Maine,0,0,2,8,322,NA,AE,6-25,6,25,90.3826787767564,344,109.36272420903536,283,0.10046208691548605,337,3-13,0.4232394736535709,0.43242768963833683,0.38965282122965966,0.1875,-18.82863163361339,336,313.5,2017
Manhattan,0,0,3,10,263,NA,MAAC,10-22,10,22,95.4653951938806,311,107.5195922134821,248,0.20303110650401435,303,5-15,0.44495719173357545,0.49332854033659146,0.4222377468582459,0.25,-15.823925041986884,308,279.5,2017
Marist,0,0,2,10,275,NA,MAAC,8-24,8,24,100.68323049926533,226,112.98148559611653,324,0.2099355241866275,301,5-15,0.4431997737654045,0.4849554862997829,0.4215469099330546,0.25,-17.854626552934572,327,275,2017
Marquette,1,0,7,3,60,NA,BE,19-12,19,12,122.10913093222719,6,101.4196605289618,122,0.8942544172921865,30,10-8,0.6908813079117834,0.5110511371672584,0.8033098266291725,0.5555555555555556,0.5009817856686976,47,64,2017
Marshall,0,0,6,6,110,NA,CUSA,19-15,19,15,109.18823079701387,71,108.41324459086468,265,0.5204672299693545,155,10-8,0.48927514308214126,0.5417618571610747,0.4330864050965367,0.5555555555555556,-7.542257314211577,158,168,2017
Maryland,1,0,7,2,30,NA,B10,23-8,23,8,114.1856890438118,35,97.70061544862179,63,0.8573018282060454,39,12-6,0.6912740050873161,0.53306815825528,0.7875824365636064,0.6666666666666666,3.5323100430017496,28,49,2017
Maryland-Baltimore County,0,0,6,5,161,NA,AE,16-12,16,12,107.24684171761913,104,110.38193722134419,297,0.4179111896167273,199,9-7,0.38794624489057933,0.4294893119037365,0.35018472584087634,0.5625,-7.512536136437621,157,200.5,2017
Maryland-Eastern Shore,0,0,7,6,281,NA,MEAC,12-20,12,20,96.50547939572067,302,112.53780363540673,319,0.1458624478896068,326,9-7,0.3749954823236517,0.6642158738641277,0.1650324971925297,0.5625,-13.798274982602305,275,310.5,2017
Massachusetts,0,0,2,12,190,NA,A10,15-18,15,18,99.75972176346272,243,99.55973956096312,92,0.5057688647975919,158,4-14,0.5510893373616337,0.4493163587889809,0.6212039309588542,0.2222222222222222,-10.168909994589088,205,167.5,2017
Massachusetts-Lowell,0,0,3,6,309,NA,AE,10-20,10,20,102.8565883937249,183,115.36203369429202,338,0.2109005360596624,300,5-11,0.3629920468578001,0.34847166698844284,0.3756973792434876,0.3125,-15.666136208796956,306,260.5,2017
McNeese State,0,0,1,13,315,NA,Slnd,5-21,5,21,95.17575725199136,316,109.84618130637062,292,0.16129941233199022,319,4-14,0.4264432333790262,0.6705398050975188,0.3179558681708074,0.2222222222222222,-17.0634213614221,319,304,2017
Memphis,0,0,5,5,119,NA,Amer,19-13,19,13,105.4906231484527,132,100.08263823054358,100,0.6468444372487342,106,9-9,0.571071689244484,0.45746425862873885,0.6413197043144979,0.5,-3.4803898571743472,90,116,2017
Mercer,0,0,7,6,193,NA,SC,13-17,13,17,108.39493593973104,82,105.49019994202487,208,0.5774656258823933,132,9-9,0.5326473857035375,0.5980531001240332,0.47975597925846153,0.5,-9.945155929814014,202,145,2017
Miami (FL),1,0,8,7,42,NA,ACC,21-11,21,11,111.42560866070077,52,92.13454192895333,16,0.8990064443463187,28,10-8,0.707078888435438,0.46520517274540313,0.8459361179754645,0.5555555555555556,2.788535462602577,32,34,2017
Miami (OH),0,0,3,6,299,NA,MAC,9-21,9,21,94.40330065556225,323,105.44594334642284,206,0.2188881319543897,291,4-14,0.46108537484552287,0.381133978988338,0.5032754856962032,0.2222222222222222,-15.657285338673407,305,264.5,2017
Michigan,1,1,8,5,38,NA,B10,23-11,23,11,122.56214156634599,3,97.88654388901378,67,0.9299097928844213,18,10-8,0.7052927008601796,0.5372526729080623,0.8024091966136884,0.5555555555555556,2.9452625412345674,31,35,2017
Michigan State,1,0,6,5,49,NA,B10,19-14,19,14,110.7284303886328,58,94.46130239258207,33,0.8614325264171899,37,10-8,0.718424726904989,0.5763515787926324,0.8139159195045379,0.5555555555555556,0.2593516289912945,50,45.5,2017
Middle Tennessee,1,1,11,1,36,NA,CUSA,29-4,29,4,110.33619182501563,59,96.24876956062764,48,0.8279049988914065,51,17-1,0.46915483047948187,0.6173745337285885,0.3796550820381873,0.9444444444444444,1.9388473752014659,34,53.5,2017
Milwaukee,0,0,3,10,259,NA,Horz,10-24,10,24,98.83065932476427,255,107.93184097170965,258,0.2663817047257386,269,4-14,0.46417994910856875,0.5346592958401852,0.4209112782311475,0.2222222222222222,-17.89367618747118,328,256.5,2017
Minnesota,1,0,8,4,19,NA,B10,24-9,24,9,109.1417349313252,73,92.21110460947838,18,0.8741892546475272,34,11-7,0.6971013389366235,0.5126364800338981,0.8082626458425944,0.6111111111111112,3.557394293035989,27,45.5,2017
Mississippi,0,0,7,5,75,NA,SEC,20-13,20,13,109.48172628912651,66,99.36963032944604,88,0.7529629732218783,75,10-8,0.6611535269631091,0.5209266718724967,0.7601266192870715,0.5555555555555556,-1.368143236818074,66,77,2017
Mississippi State,0,0,3,12,145,NA,SEC,16-16,16,16,104.49458861323723,153,98.70086139104268,77,0.6583564468627943,102,6-12,0.632107177936478,0.4139190592049066,0.7761177080644002,0.3333333333333333,-5.425217137083932,115,115,2017
Mississippi Valley State,0,0,5,7,333,NA,SWAC,7-25,7,25,94.91006035873039,319,119.02003865112172,349,0.06893501352384854,342,7-11,0.35796931106360114,0.6756622453819071,0.1376956832488709,0.3888888888888889,-18.284325013979142,333,334,2017
Missouri,0,0,2,13,256,NA,SEC,8-24,8,24,101.34537820740988,215,100.1473740869103,101,0.5341346750078221,147,2-16,0.663326360996461,0.4539562871967267,0.7936118689931927,0.1111111111111111,-12.575889328491861,254,158,2017
Missouri-Kansas City,0,0,7,4,183,NA,WAC,14-16,14,16,102.33954770555758,194,107.81002941627625,255,0.35460527498256705,225,8-6,0.4569557371415219,0.512371073448101,0.4061871707952464,0.5714285714285714,-9.3416529564554,193,224.5,2017
Missouri State,0,0,4,6,209,NA,MVC,16-16,16,16,108.6269895775373,80,104.69527035195134,194,0.6044300933762197,120,7-11,0.5102937568565729,0.3906149272864079,0.5672443543166261,0.3888888888888889,-8.575320825842196,178,137,2017
Monmouth,0,0,12,1,50,NA,MAAC,27-6,27,6,105.97694573471259,116,99.15683617619644,84,0.6824309197681856,91,18-2,0.4272689667347154,0.5274900880445124,0.3751963827416883,0.9,0.42566272159431495,49,100,2017
Montana,0,0,6,5,220,NA,BSky,16-16,16,16,104.8920475644218,148,107.57055845344158,250,0.42800979118350035,196,11-7,0.39514428298525156,0.5164794482158342,0.30935757975746714,0.6111111111111112,-10.837337254879293,218,199,2017
Montana State,0,0,9,5,255,NA,BSky,14-16,14,16,101.7593046244426,208,108.17013071853222,261,0.33123767272436416,234,11-7,0.3558992497787967,0.4358689317712905,0.31988511816148457,0.6111111111111112,-12.25574774864371,251,234.5,2017
Morehead State,0,0,8,2,200,NA,OVC,12-16,12,16,105.4534623407166,135,108.39897884689003,263,0.4214527188095183,197,10-6,0.47093492143318005,0.6020626669658196,0.3862274069721189,0.625,-10.370468552942796,209,199,2017
Morgan State,0,0,7,3,326,NA,MEAC,13-16,13,16,91.58257230951243,340,105.36065851173511,205,0.1663519488319179,316,11-5,0.25669870092092684,0.4306767097413069,0.1363299341090998,0.6875,-13.19120014565757,265,272.5,2017
Mount St. Mary's,1,1,9,1,148,NA,NEC,19-15,19,15,97.95989269618735,272,101.88566811618415,136,0.3889159657296321,209,14-4,0.39134907698332955,0.664468831984795,0.22475663989868033,0.7777777777777778,-7.986184545285352,167,204,2017
Murray State,0,0,5,3,232,NA,OVC,14-17,14,17,105.46437643871435,134,109.89489743130183,295,0.3838499519492059,211,8-8,0.40670487543670175,0.5041396215221822,0.34449910218515006,0.5,-12.117301080429913,248,214.5,2017
Navy,0,0,7,4,205,NA,Pat,15-16,15,16,98.67877580201991,263,101.83380968145644,135,0.4104921475294198,201,10-8,0.39807564519121036,0.4469540269302948,0.353897164675861,0.5555555555555556,-11.296255587115105,230,199,2017
Nebraska,0,0,3,12,107,NA,B10,11-19,11,19,105.31536851725123,140,98.64369641734339,74,0.6797488375986449,93,6-12,0.751104849917639,0.6358804766770386,0.8248716997916736,0.3333333333333333,-5.570742508995001,118,107,2017
Nevada,1,1,9,1,31,NA,MWC,28-6,28,6,113.29613650352425,37,100.3918340660496,103,0.8006925246900521,59,14-4,0.5401231898379626,0.48809515227353367,0.5588032926776623,0.7777777777777778,1.5535797511144636,39,70,2017
Nevada-Las Vegas,0,0,2,10,243,NA,MWC,11-21,11,21,97.37796761062366,282,104.14782273930503,182,0.31584568352594466,243,4-14,0.5509456232344546,0.46506984606498436,0.6048201754543787,0.2222222222222222,-12.747446525076123,257,232,2017
New Hampshire,0,0,8,3,128,NA,AE,17-12,17,12,100.92579178571529,220,102.52828097716159,152,0.4548331253216285,187,10-6,0.40895829026452624,0.4686062121202262,0.34568136448624764,0.625,-6.390857946033643,136,186,2017
New Mexico,0,0,7,5,86,NA,MWC,17-14,17,14,105.54937603104588,130,100.86269168897518,110,0.6276891014819537,113,10-8,0.5673478265039893,0.5022740500862247,0.604369045895296,0.5555555555555556,-5.541924025876327,116,120,2017
New Mexico State,1,1,9,2,64,NA,WAC,25-5,25,5,108.69400190295597,78,102.63618374369926,155,0.6591435337099525,101,11-3,0.40024659886589536,0.4484466707101354,0.36368929354254204,0.7857142857142857,-0.31787335689607,55,116.5,2017
New Orleans,1,1,8,1,167,NA,Slnd,17-11,17,11,99.27525119054144,253,100.84855530016466,109,0.45491732885910124,186,13-5,0.38374259257757587,0.658277339642781,0.2638193839380864,0.7222222222222222,-6.360562536152841,135,181,2017
Niagara,0,0,4,9,285,NA,MAAC,10-23,10,23,99.42765605084915,249,109.38013461813685,285,0.2502858541503222,275,6-14,0.4061784586454664,0.37751189175276195,0.4175258437600903,0.3,-17.981141386640306,329,267,2017
Nicholls State,0,0,4,8,249,NA,Slnd,10-17,10,17,99.99194369686441,236,112.13209440765584,315,0.21119093493995408,299,7-11,0.41000949038086343,0.6374562001129004,0.29628613551484473,0.3888888888888889,-11.982872070104142,244,275.5,2017
NJIT,0,0,3,7,290,NA,ASun,9-20,9,20,97.74008187694903,273,109.01688301192638,278,0.22171554433564836,290,3-11,0.41940244891207484,0.48194829009594803,0.34527211284805104,0.21428571428571427,-14.649265210518632,287,275.5,2017
Norfolk State,0,0,10,2,241,NA,MEAC,15-16,15,16,93.11984074365179,330,104.57677682147374,191,0.20843352530589715,302,12-4,0.3298395335293205,0.6031323628246679,0.14347954142661518,0.75,-10.939474506231056,220,260.5,2017
North Carolina,1,0,9,1,5,NA,ACC,26-7,26,7,122.26169662745016,5,92.77734446981663,21,0.9598268959334386,4,14-4,0.7635238170468908,0.6196308750788664,0.8497118304666036,0.7777777777777778,8.222584605155125,5,13,2017
North Carolina-Asheville,0,0,10,1,74,NA,BSth,21-9,21,9,105.24716182612539,141,101.08624246301905,116,0.6139344242218288,115,15-3,0.3931538044930525,0.6117801793721779,0.2687746530898354,0.8333333333333334,-3.5548571159750835,91,128.5,2017
North Carolina-Greensboro,0,0,9,1,95,NA,SC,22-9,22,9,106.83430802590662,110,103.7806741564784,176,0.5826088939301644,130,14-4,0.4858751415281831,0.48790893102827537,0.4791979753102083,0.7777777777777778,-2.7214674431337413,83,143,2017
North Carolina-Wilmington,1,1,9,1,27,NA,CAA,27-5,27,5,116.88088032890535,21,105.03517184553141,202,0.7736243103416744,70,15-3,0.4988748330115615,0.5560103078224446,0.4658418842241885,0.8333333333333334,1.4255001903842448,42,111.5,2017
North Carolina A&T,0,0,2,13,350,NA,MEAC,1-29,1,29,95.26237687513932,314,124.30646670735351,351,0.04477387074753584,348,1-15,0.30379437775133183,0.46970374476447646,0.17886376266955728,0.0625,-25.228322054063742,351,332.5,2017
North Carolina Central,1,1,10,1,208,NA,MEAC,22-8,22,8,101.91974050211314,204,101.16606842695487,118,0.5213259861494092,154,13-3,0.2453477006773395,0.45255601103005105,0.11961598262292353,0.8125,-5.1291329890127155,108,161,2017
North Carolina State,0,0,2,13,141,NA,ACC,15-17,15,17,112.25627088955339,45,104.87260985723555,198,0.6862051458168859,89,4-14,0.6825476408589249,0.41535259586046863,0.865229424978739,0.2222222222222222,-4.228019755138533,96,121.5,2017
North Dakota,1,1,10,1,150,NA,BSky,19-9,19,9,102.21955000969231,197,102.55768584882466,154,0.4905065171412322,167,14-4,0.35313555814834074,0.5468711235710442,0.27519638744575337,0.7777777777777778,-5.394942881173577,114,175.5,2017
North Dakota State,0,0,7,2,114,NA,Sum,17-11,17,11,102.7981077364345,185,104.36901682836007,186,0.4565081918522094,183,11-5,0.450834157503264,0.5115700718816663,0.4125588280850014,0.6875,-6.032014727873747,129,185.5,2017
North Florida,0,0,6,3,216,NA,ASun,11-19,11,19,100.95404088978356,219,108.6456605764605,267,0.3006081611527555,251,8-6,0.4822835999567383,0.642128127476288,0.3340936363387974,0.5714285714285714,-12.175097892869264,250,243,2017
North Texas,0,0,2,14,339,NA,CUSA,6-22,6,22,95.80261100971552,309,109.65370185043817,289,0.17466364675723073,313,2-16,0.40864393060696397,0.3627145089404963,0.4341602759772238,0.1111111111111111,-17.64145477612232,326,299,2017
Northeastern,0,0,3,6,137,NA,CAA,15-16,15,16,105.19931455868087,142,106.37462982513598,226,0.4681012068093759,177,8-10,0.5145131095505338,0.5305980830027629,0.49915203630234967,0.4444444444444444,-8.977779219914831,186,184,2017
Northern Arizona,0,0,5,10,335,NA,BSky,8-23,8,23,94.26458329217373,326,109.40258122374006,286,0.15281606694041458,324,6-12,0.36184766064972806,0.4243878902327161,0.3241647424295497,0.3333333333333333,-19.154395097245434,340,306,2017
Northern Colorado,0,0,4,8,287,NA,BSky,9-18,9,18,96.74290491356692,298,105.60818348205653,211,0.2673113069576965,268,7-11,0.4135404476848717,0.641613923347657,0.29950370985347896,0.3888888888888889,-12.69577844559306,255,254.5,2017
Northern Illinois,0,0,3,4,240,NA,MAC,12-17,12,17,98.64442625876364,264,101.46472138602923,123,0.41965775421962154,198,7-11,0.45197451165751956,0.39189364340902894,0.4766521262343946,0.3888888888888889,-12.147987756639687,249,193.5,2017
Northern Iowa,0,0,8,3,159,NA,MVC,13-16,13,16,96.44818028546885,303,96.76986466774434,54,0.49042811490374005,168,9-9,0.6163488087663154,0.6836866528709439,0.5796010462297103,0.5,-6.90242425097196,142,178.5,2017
Northern Kentucky,1,1,9,3,87,NA,Horz,22-10,22,10,105.45161600061252,136,104.59238106360539,192,0.523504537213652,153,12-6,0.4010643416570616,0.43574478695180086,0.39292844197532706,0.6666666666666666,-5.014815916763099,105,164,2017
Northwestern,1,0,6,5,47,NA,B10,23-11,23,11,111.18728875935295,55,95.20990625836353,42,0.8561924004987231,40,10-8,0.6766631046181549,0.49173687532379884,0.7917220923069759,0.5555555555555556,1.8515366623939749,35,48.5,2017
Northwestern State,0,0,5,8,306,NA,Slnd,9-16,9,16,99.98614909923451,237,112.62648157169436,320,0.2027782523960313,304,7-11,0.3807786173767635,0.6280923553195391,0.2846010526212396,0.3888888888888889,-12.086233759640187,246,278.5,2017
Notre Dame,1,0,7,2,21,NA,ACC,25-9,25,9,119.94801902912101,11,95.75028721984668,45,0.9302879343541809,17,12-6,0.7082007323129969,0.4712509643752145,0.8399953460250278,0.6666666666666666,5.824120880461198,15,28,2017
Oakland,0,0,10,1,112,NA,Horz,22-8,22,8,102.29865462637906,196,98.88678248258023,82,0.5963045519816618,125,14-4,0.39530897370570023,0.42846204766361656,0.385035955145969,0.7777777777777778,-3.678307389122021,92,139,2017
Ohio,0,0,7,2,121,NA,MAC,19-11,19,11,105.70722565413882,124,99.39524261028122,89,0.6699686985175297,98,11-7,0.4412128345826145,0.363119643084184,0.47074818560873044,0.6111111111111112,-6.087789406626845,130,106.5,2017
Ohio State,0,0,5,10,88,NA,B10,17-15,17,15,111.69855937315329,49,99.69427094017436,93,0.787094407191315,64,7-11,0.665180948395212,0.4600287072226964,0.8182352984311413,0.3888888888888889,-3.2052317605541654,86,71,2017
Oklahoma,0,0,3,9,163,NA,B12,11-20,11,20,106.93445377762541,109,94.96075773172623,39,0.7966767373853596,61,5-13,0.7549112005393369,0.5604273563524677,0.880666218339901,0.2777777777777778,-4.661190308774846,101,74,2017
Oklahoma State,1,0,9,5,40,NA,B12,19-12,19,12,125.6520809045133,1,101.75164574929894,131,0.9188102786424917,23,9-9,0.7513275617573246,0.5636539652344359,0.8669069067461741,0.5,3.2242605455593605,30,66,2017
Old Dominion,0,0,8,3,136,NA,CUSA,19-12,19,12,99.92132523301555,238,96.92571278901019,55,0.5866273631208357,128,12-6,0.46408454243953356,0.5628595241853626,0.39510218307949735,0.6666666666666666,-5.824592463912259,122,146.5,2017
Omaha,0,0,8,3,140,NA,Sum,17-14,17,14,106.71869380667025,111,107.9740934843867,260,0.466427521052918,178,9-7,0.4794957062404018,0.5760047404825195,0.4113499567361805,0.5625,-7.320897007804847,154,185.5,2017
Oral Roberts,0,0,3,9,292,NA,Sum,6-22,6,22,103.44673656868005,167,109.85854176218257,293,0.33368346311652397,232,4-12,0.5364225352577884,0.6815499928071201,0.4275769420957893,0.25,-15.044188518794462,297,230,2017
Oregon,1,0,10,1,6,NA,P12,28-5,28,5,117.30458092273662,20,93.85935921410658,27,0.9285235509455949,19,16-2,0.6579006742885996,0.5726160024584318,0.6955869835057942,0.8888888888888888,5.841359957315431,14,23.5,2017
Oregon State,0,0,1,12,280,NA,P12,4-27,4,27,96.53104882526188,301,104.69079966815187,193,0.2822789639359793,260,1-17,0.6334128135781283,0.4193087990867527,0.7665616902798627,0.05555555555555555,-16.795202435132452,317,247,2017
Pacific,0,0,2,9,223,NA,WCC,10-22,10,22,98.78592751768562,258,105.46290933372225,207,0.320353476893893,239,4-14,0.5440771464833137,0.4708371505179947,0.5859693341272617,0.2222222222222222,-12.707537692201578,256,232.5,2017
Penn State,0,0,3,12,104,NA,B10,15-18,15,18,103.4167233426356,169,96.43584702758432,51,0.690769657832758,88,6-12,0.7079837058109634,0.5576335821868909,0.8096135755176106,0.3333333333333333,-5.074421250734459,106,110,2017
Pennsylvania,0,0,7,4,197,NA,Ivy,13-15,13,15,101.73978332192493,209,101.79384612252929,133,0.4984726841221589,163,6-8,0.4771481054348477,0.5069272784217381,0.4307555339921628,0.42857142857142855,-8.973725584365173,185,171,2017
Pepperdine,0,0,4,8,247,NA,WCC,8-22,8,22,101.94509199872361,203,112.78213214871448,321,0.23834562632911324,284,5-13,0.5376017679651178,0.4634533798023435,0.5949840213460473,0.2777777777777778,-14.121292031676626,281,262,2017
Pittsburgh,0,0,3,13,73,NA,ACC,16-17,16,17,113.12468313238718,40,101.17798396169356,119,0.7830463752687474,67,4-14,0.7460064877776363,0.5453392456333189,0.8799769911480867,0.2222222222222222,-2.166007620573481,77,79.5,2017
Portland,0,0,1,10,233,NA,WCC,9-22,9,22,97.37882396393661,281,106.66846997891504,230,0.2596393941545182,271,2-16,0.5392812640053236,0.4395712464280022,0.5926334083078874,0.1111111111111111,-13.378345944877898,267,255.5,2017
Portland State,0,0,3,8,269,NA,BSky,12-16,12,16,102.48419155769705,191,110.79844777387308,301,0.2896574336113777,257,7-11,0.36132983470336655,0.48965296810763353,0.30870494681899097,0.3888888888888889,-12.076987153996681,245,246,2017
Prairie View,0,0,7,3,307,NA,SWAC,11-20,11,20,96.78862919784426,297,110.80748773487899,302,0.1742867610634343,314,10-8,0.3455636267179848,0.6944624081130072,0.12577265076452773,0.5555555555555556,-13.969110265815816,280,299.5,2017
Presbyterian,0,0,1,10,346,NA,BSth,3-25,3,25,87.05446265891065,349,118.11251617173684,346,0.02906588914826593,350,1-17,0.39871015656806114,0.5417792858364172,0.3332997913834781,0.05555555555555555,-20.525911926104122,346,347.5,2017
Princeton,1,1,12,1,51,NA,Ivy,21-6,21,6,107.24321567688241,105,95.23645632792454,43,0.79664721056672,62,14-0,0.4553393561041042,0.522636921725456,0.3888708542759049,1,-0.6786309726375443,57,74,2017
Providence,1,0,8,3,56,NA,BE,20-12,20,12,108.04369320398077,90,93.86984861102836,28,0.8344092355276624,47,10-8,0.6730777223452638,0.4655627971987022,0.8100595915229918,0.5555555555555556,0.4812959099450982,48,59,2017
Purdue,1,0,10,1,20,NA,B10,25-7,25,7,116.40277774336732,27,92.10885908578123,15,0.9365517762710182,14,14-4,0.6816157695520838,0.5002364280704709,0.7988178482147954,0.7777777777777778,5.450607134036948,19,21,2017
Purdue-Fort Wayne,0,0,5,4,176,NA,Sum,16-12,16,12,107.96306551439763,92,106.82595783455835,233,0.5304036189637161,150,8-8,0.42028054659244285,0.44041210814594206,0.4035559121204165,0.5,-6.929220348620365,146,162.5,2017
Quinnipiac,0,0,3,8,272,NA,MAAC,10-21,10,21,100.52737117834363,228,112.31938674937211,316,0.2183105310597309,294,7-13,0.4229625243906393,0.44473510774134706,0.4207100662275193,0.35,-15.618514095895655,304,272,2017
Radford,0,0,5,6,228,NA,BSth,12-18,12,18,95.08546345740791,317,107.89259122605765,257,0.18951860351902988,310,8-10,0.4189895296621217,0.6301504417742505,0.31508022829196225,0.4444444444444444,-11.833507604734057,239,287,2017
Rhode Island,1,1,9,3,39,NA,A10,23-9,23,9,109.06914397840873,74,93.9754134089657,30,0.8472135600757906,44,13-5,0.5921144158331934,0.5587405487000706,0.6002565121931961,0.7222222222222222,-0.11870594855484617,54,52,2017
Rice,0,0,9,5,166,NA,CUSA,20-11,20,11,105.96555041258159,117,107.29529373860883,243,0.46420793960585227,181,11-7,0.38920362788219787,0.38650192072710093,0.4024248118453802,0.6111111111111112,-6.298135689075007,133,180,2017
Richmond,0,0,8,3,78,NA,A10,20-12,20,12,108.82504288530582,76,100.88549370830233,111,0.7049924896802648,84,13-5,0.5786372517655632,0.5026364827102395,0.6144852864534482,0.7222222222222222,-3.8330881867898574,93,93.5,2017
Rider,0,0,6,6,199,NA,MAAC,18-15,18,15,99.72845893886881,244,104.55926624271154,189,0.3672612546123976,220,10-10,0.3860258135678922,0.34868899717125107,0.4059939974120609,0.5,-10.175757839410746,206,216.5,2017
Robert Morris,0,0,7,5,238,NA,NEC,14-19,14,19,91.27777406186799,341,99.22568557683323,86,0.27685211379175606,265,9-9,0.37752064102716326,0.5661984712472224,0.23699899638654806,0.5,-13.539275405734097,271,213.5,2017
Rutgers,0,0,3,14,169,NA,B10,14-18,14,18,100.4493597793948,231,97.76743540343254,64,0.5771817829930015,133,3-15,0.6500204210798133,0.3620187617161624,0.8229523070150558,0.16666666666666666,-5.834378846305538,123,147.5,2017
Sacramento State,0,0,7,7,300,NA,BSky,11-18,11,18,100.24790909527037,233,111.65823728354376,310,0.22449512816658596,289,9-9,0.3818939221348348,0.5312194918529961,0.3158901230639142,0.5,-13.847013034929441,276,271.5,2017
