School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Wins,Losses,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,T-Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank,Efficiency Avg,Season
Cincinnati,1,0,10,2,12,NA,Amer,29-4,29,4,114.49103607724578,34,91.04185939306944,10,0.9331139618273858,15,16-2,0.5950434107536448,0.538537032572912,0.6290393382498815,0.8888888888888888,5.7517742463911326,17,22,2017
Citadel,0,0,2,8,286,NA,SC,9-21,9,21,104.23170045371494,157,115.21546038702286,337,0.24009517454520965,283,4-14,0.485890886354882,0.4537826556385281,0.5164865979231806,0.2222222222222222,-14.563282198829892,285,247,2017
Clemson,0,0,5,12,69,NA,ACC,17-15,17,15,116.44734571705345,26,98.87035492418838,81,0.8678111116832011,35,6-12,0.7488231320684595,0.5912951325684881,0.8462960164319967,0.3333333333333333,-0.4138560854391714,56,53.5,2017
Cleveland State,0,0,4,8,251,NA,Horz,8-22,8,22,94.96381255294028,318,102.3276103401368,149,0.2975772054486433,253,5-13,0.4674555413920797,0.5721288518695948,0.4174838542751702,0.2777777777777778,-15.730756825642903,307,233.5,2017
Coastal Carolina,0,0,6,6,179,NA,SB,14-17,14,17,100.97676537585531,217,104.47396112497066,187,0.4033453495902023,206,10-8,0.5154307921814494,0.5573340948099967,0.49017549338817684,0.5555555555555556,-10.423133915541804,210,202,2017
Colgate,0,0,6,6,293,NA,Pat,9-22,9,22,96.86513256474858,295,107.4532546297512,246,0.23272865602088386,285,8-10,0.4170680683140728,0.46326905103723837,0.3733496869231623,0.4444444444444444,-16.33821578068783,311,270.5,2017
College of Charleston,0,0,8,2,59,NA,CAA,24-9,24,9,104.21692301120993,158,98.82988451278543,79,0.648022154267985,105,14-4,0.5088111315707761,0.5348726653794335,0.4796340183050767,0.7777777777777778,-2.055444722006097,75,118.5,2017
Colorado,0,0,8,7,96,NA,P12,18-14,18,14,111.10113829108849,56,101.74402574930576,129,0.7333682750341217,79,8-10,0.619839993265141,0.5208082537685721,0.6770491688439927,0.4444444444444444,-3.880186784499824,94,92.5,2017
Colorado State,0,0,10,2,65,NA,MWC,21-11,21,11,108.10405820318634,87,99.42110437183274,90,0.7237007275450671,81,13-5,0.5535377760316117,0.501614482672202,0.5693844898121071,0.7222222222222222,-2.9032821451377853,84,88.5,2017
Columbia,0,0,4,5,260,NA,Ivy,10-16,10,16,100.00691963254991,235,105.30847048106602,203,0.35571152475192386,224,5-9,0.43680097535434836,0.4206169518983813,0.45067299545946315,0.35714285714285715,-11.128822529284037,227,219,2017
Connecticut,0,0,7,5,105,NA,Amer,15-17,15,17,105.99258440804886,115,98.39842392980103,72,0.7016065758024941,86,9-9,0.6458954459800911,0.6209941430814601,0.6636458437099955,0.5,-5.693284993058523,119,93.5,2017
Coppin State,0,0,4,7,336,NA,MEAC,7-23,7,23,92.22360278553276,336,116.69475110101267,341,0.06259248534092385,345,7-9,0.3606028950759,0.6366933445602776,0.15288815680798695,0.4375,-18.880245817760393,337,338.5,2017
Cornell,0,0,3,6,268,NA,Ivy,7-21,7,21,98.78220261413898,259,107.3438942990075,245,0.2777033999478334,263,4-10,0.48643983684499176,0.5112326883638187,0.46164698532616477,0.2857142857142857,-14.667568770362355,290,252,2017
Creighton,1,0,5,3,25,NA,BE,24-9,24,9,115.0570830417513,32,94.5684642448675,35,0.9050981040517331,26,10-8,0.7031127685077952,0.5084484412230456,0.8020767240207505,0.5555555555555556,4.163381321958241,23,33.5,2017
Dartmouth,0,0,4,6,304,NA,Ivy,7-20,7,20,98.72163077813872,262,111.32022584082195,306,0.20081165886502492,305,4-10,0.44425413877857706,0.41375100868683096,0.47257847386376994,0.2857142857142857,-14.775103936059732,291,284,2017
Davidson,0,0,6,9,89,NA,A10,17-15,17,15,108.96098736327326,75,98.77496210931656,78,0.7555945028265925,74,8-10,0.6097267254195621,0.5504595335157366,0.6228581712954966,0.4444444444444444,-5.328849261209319,112,76.5,2017
Dayton,1,0,10,1,26,NA,A10,23-7,23,7,111.7587044634306,48,97.0086946078587,56,0.8358580776084169,46,15-3,0.6011370387252684,0.5995253497288129,0.5935409895509338,0.8333333333333334,1.372843878830226,43,52,2017
Delaware,0,0,5,9,236,NA,CAA,11-20,11,20,97.29105333211389,286,107.47358803652806,247,0.2414606742320027,282,5-13,0.49050873509897613,0.41583574809331325,0.5238842888406334,0.2777777777777778,-13.786984583535032,274,266.5,2017
Delaware State,0,0,5,7,332,NA,MEAC,8-22,8,22,93.9402639617852,329,113.39031145816202,327,0.10302707192616553,336,7-9,0.32173070979110924,0.5290174849845559,0.16628317406905674,0.4375,-17.434106565539295,324,328,2017
Denver,0,0,6,4,211,NA,Sum,16-14,16,14,105.7556905080503,123,109.3078199485679,281,0.40614677697003043,204,8-8,0.40628708394667007,0.38801572247749194,0.4187028384568068,0.5,-9.478720398867328,194,202,2017
DePaul,0,0,1,10,237,NA,BE,9-23,9,23,102.98922763844112,179,102.99287579411792,162,0.49989816156596056,162,2-16,0.6670949318453229,0.40334840845522124,0.846697856782056,0.1111111111111111,-10.939999879376655,221,170.5,2017
Detroit Mercy,0,0,4,7,288,NA,Horz,7-23,7,23,102.18261605161476,198,113.56818521918893,329,0.22883852276709324,287,6-12,0.4614224679569948,0.5439394527055822,0.425056649127991,0.3333333333333333,-17.23003523693544,321,263.5,2017
Drake,0,0,2,9,314,NA,MVC,6-23,6,23,102.79158861768339,186,109.95974675182488,296,0.3153500091919691,245,5-13,0.5365728155280559,0.44513086761355714,0.5986281679099172,0.2777777777777778,-16.863105078144887,318,241,2017
Drexel,0,0,2,10,308,NA,CAA,8-23,8,23,102.1643746113921,199,109.15285184527337,279,0.3184484996546274,241,3-15,0.4626185048138699,0.39135886272313636,0.515422295871751,0.16666666666666666,-17.364216354857028,323,239,2017
Duke,1,1,8,5,9,NA,ACC,27-8,27,8,121.98060586464635,7,94.88875894651662,37,0.9472651937781035,8,11-7,0.7433563187451253,0.5359926020046039,0.8519911919478256,0.6111111111111112,8.427991759829975,3,22,2017
Duquesne,0,0,1,14,266,NA,A10,10-22,10,22,101.73810514212119,210,106.22217526122151,222,0.37847967112451486,213,3-15,0.5037691029590625,0.3691839682460053,0.6125533592799591,0.16666666666666666,-14.801971235189217,293,216,2017
East Carolina,0,0,5,9,212,NA,Amer,15-18,15,18,96.19796727823783,308,97.0348049773036,57,0.47511875288223193,175,6-12,0.5463698423893367,0.3554095078891129,0.6568616028986053,0.3333333333333333,-8.524228198259177,177,182.5,2017
