School,Make Tournament,Conference Champ,Last 12 Win %,Last 12 Wins,Conference Finish,RPI,RPI Rank,NET Rank,Conference,Record,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,Barthag Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank
Abilene Christian,0,0,0.083,1,12,0.406,324,NA,Slnd,7-21,91.03437800739441,333,111.61414824231365,329,0.08755809256902991,339,4-14,0.36339918307253016,0.4427791739335293,0.31929918814975294,0.2222222222222222,-16.76478341494909,321
Air Force,0,0,0.417,5,9,0.461,240,NA,MWC,12-17,105.35991206318512,103,110.10605098049894,315,0.375964988591455,218,6-12,0.5120895078884691,0.32105699743725385,0.5865378813821208,0.3333333333333333,-10.079155830844748,215
Akron,0,0,0.417,5,4,0.527,115,NA,MAC,20-14,103.92770879803649,138,96.60968207967962,71,0.6984000755611809,93,9-9,0.5149591708284591,0.4016152223513647,0.5741305568564202,0.5,-6.823727085301583,157
Alabama,0,0,0.417,5,8,0.545,85,NA,SEC,17-14,108.61286695467395,62,98.39518191053523,106,0.7569771295808739,73,8-10,0.6732951755993528,0.5049474978400593,0.7744573678911405,0.4444444444444444,-1.5952765666537974,68
Alabama-Birmingham,1,1,0.583,7,4,0.515,140,NA,CUSA,18-15,102.77868195145665,157,100.35146491765948,132,0.5682811639359521,138,12-6,0.5016996087896732,0.5959294292759353,0.42776061003653754,0.6666666666666666,-7.379170545929053,166
Alabama A&M,0,0,0.417,5,7,0.394,330,NA,SWAC,8-20,92.71528392910824,316,113.62587797757638,337,0.08795641508495051,338,8-10,0.3119352885123587,0.6462327238031539,0.15083851989919994,0.4444444444444444,-15.82393268769425,309
Alabama State,0,0,0.667,8,2,0.453,256,NA,SWAC,17-10,94.54258663859054,303,105.41654744194241,229,0.22235477762489894,293,14-4,0.21304407988415924,0.43729923722499847,0.13573828668588686,0.7777777777777778,-7.1574788277142805,164
Albany (NY),1,1,0.917,11,1,0.531,107,NA,AE,24-8,104.47984162109886,124,102.03424824259548,164,0.5676782501406563,139,15-1,0.359926039819448,0.48144553088509645,0.27455728781085914,0.9375,-3.234156067356736,89
Alcorn State,0,0,0.083,1,9,0.353,348,NA,SWAC,5-25,91.22204014700085,330,117.86722945493713,350,0.049877722553204794,347,4-14,0.2954269084297011,0.5731096977756615,0.15520375400167286,0.2222222222222222,-20.55539574166143,343
American,0,0,0.333,4,6,0.516,138,NA,Pat,17-16,99.6855223770547,225,104.11433090052923,207,0.3775652204464922,216,8-10,0.4303740092838646,0.5311070138595374,0.3498924243956451,0.4444444444444444,-9.949245631252428,212
Appalachian State,0,0,0.417,5,6,0.458,250,NA,SB,12-17,95.57722012428326,294,106.62108816897435,253,0.22140656989560117,295,9-11,0.4369402377525819,0.48711750827052547,0.4143604660195074,0.45,-11.62118694758792,243
Arizona,1,1,0.917,11,1,0.659,6,NA,P12,31-3,116.33976090174639,13,85.5238635396941,3,0.9717710879215304,3,16-2,0.6741878301305452,0.56000175832444965,0.7404052627303976,0.8888888888888888,9.107355051000095,7
Arizona State,0,0,0.583,7,5,0.535,102,NA,P12,17-15,107.92999550114848,68,97.34229590797722,86,0.7662696839323715,71,9-9,0.6534398923219875,0.5100762098014181,0.7636328198528013,0.5,-3.624029579748493,95
Arkansas,1,0,0.75,9,2,0.609,21,NA,SEC,26-7,112.94339060518863,27,95.62667840974862,63,0.8714679873694092,31,13-5,0.6330888571885506,0.4854075593316121,0.7254371922792094,0.7222222222222222,4.059260726753945,19
Arkansas-Pine Bluff,0,0,0.583,7,5,0.425,301,NA,SWAC,12-20,90.18152731189247,337,108.65487132012325,294,0.1049827244329757,329,9-9,0.33162613459134593,0.5665590942944974,0.14890049926667262,0.5,-15.064399737337641,301
Arkansas State,0,0,0.25,3,10,0.441,277,NA,SB,10-18,92.98752676739018,314,106.28004564068905,244,0.17703879816890122,310,6-14,0.42255055202292224,0.43191219744423126,0.41880589385439865,0.3,-12.953664976310353,269
Army,0,0,0.333,4,10,0.463,236,NA,Pat,14-15,97.3013496858772,268,106.25414597146553,242,0.2665414879236396,274,6-12,0.3638831193908663,0.3660914341550615,0.36203497379604266,0.3333333333333333,-10.860888729021818,227
Auburn,0,0,0.167,2,13,0.520,129,NA,SEC,14-20,105.50020304119828,100,101.9725423725288,163,0.5965491267756967,130,4-14,0.7021995907121527,0.5787365232634305,0.7616592941581793,0.2222222222222222,-6.745409880340403,154
Austin Peay,0,0,0.167,2,6,0.408,319,NA,OVC,6-22,92.8851318024996,315,107.46950210178917,275,0.15746653032234154,316,3-13,0.4381102927413729,0.48869711102783137,0.4001701790265291,0.1875,-16.59373440673817,318
Ball State,0,0,0,0,6,0.436,283,NA,MAC,6-23,99.68719821376571,224,106.25682427746962,243,0.32432845210238204,240,2-16,0.5512851609581704,0.43206025436167106,0.6064902309004876,0.1111111111111111,-15.676251286770926,307
Baylor,1,0,0.667,8,4,0.631,10,NA,B12,23-9,117.46959940467617,12,92.39078251907793,25,0.9405736415890285,11,11-7,0.7342752407931242,0.5373238570828841,0.8455373780751472,0.6111111111111112,5.1008478280775345,15
Belmont,1,1,0.75,9,1,0.532,104,NA,OVC,21-10,107.65088128490021,74,107.39437749707994,271,0.5068581143797489,161,11-5,0.3992333028568885,0.4468688153611855,0.34385345624943403,0.6875,-4.6368738977686235,114
Bethune-Cookman,0,0,0.417,5,7,0.372,344,NA,MEAC,9-21,90.31374697474266,336,109.09647003511884,301,0.10221586159688734,331,7-9,0.2646478446897298,0.34925477921837766,0.20499563029686382,0.4375,-18.119991426413794,334
Binghamton,0,0,0.333,4,7,0.392,332,NA,AE,5-25,91.42144540214146,327,109.17782764795456,302,0.11494194854644284,326,5-11,0.4291687768869225,0.5360779063027166,0.3304308305980889,0.3125,-19.179754536515095,339
Boise State,1,0,0.917,11,1,0.580,43,NA,MWC,23-8,110.18073450127682,51,96.30615315487358,69,0.8245933305048274,50,14-4,0.5422150092327301,0.5428633958811034,0.5462661879481074,0.7777777777777778,0.31936955648134147,45
Boston College,0,0,0.25,3,13,0.505,164,NA,ACC,13-19,108.3702657798048,64,99.21883309861073,117,0.7339190011676411,83,4-14,0.6957151109014725,0.463209108395154,0.8338016317421391,0.2222222222222222,-5.695780944295673,135
Boston University,0,0,0.5,6,4,0.486,199,NA,Pat,12-17,103.71821962067983,141,109.24830620284182,303,0.3549447910448865,228,9-9,0.4115186410507335,0.5126376438339502,0.35235522846317113,0.5,-11.83812975814973,248
Bowling Green State,0,0,0.583,7,3,0.529,111,NA,MAC,20-10,104.49715210016623,123,97.68059838943114,93,0.6847642657759392,101,11-7,0.4851670040277797,0.39121379181915195,0.5441130827021461,0.6111111111111112,-4.1249157375894,103
Bradley,0,0,0.167,2,10,0.434,287,NA,MVC,8-24,92.21175605472149,320,98.55734137230229,108,0.3174890357795034,245,3-15,0.5470194059479104,0.4756627479127018,0.5861623292190012,0.16666666666666666,-15.091853532137485,302
Brigham Young,1,0,0.75,9,2,0.586,36,NA,WCC,23-9,118.65969999835319,10,99.85502369992832,127,0.8791296773116549,27,13-5,0.6401128245662333,0.6287878183387968,0.6335824091840138,0.7222222222222222,0.9532355467741156,41
Brown,0,0,0.333,4,7,0.459,247,NA,Ivy,11-18,98.18643786711831,255,104.89114324115452,221,0.3187261027550645,244,4-10,0.45923003996873357,0.42646534011255205,0.49433507552892797,0.2857142857142857,-12.140547544534343,255
Bryant,0,0,0.5,6,2,0.491,189,NA,NEC,16-15,102.24656123497952,168,108.89994424623723,297,0.32629574125682015,239,12-6,0.3846238729515042,0.5590749467314932,0.28055430097077544,0.6666666666666666,-10.32906338319718,218
Bucknell,0,0,0.75,9,1,0.514,142,NA,Pat,18-14,102.96689196330223,153,107.27778837200964,269,0.3842228452770328,210,13-5,0.4189224284269881,0.5458737126169614,0.34916840324844745,0.7222222222222222,-8.331724378764818,177
Buffalo,1,1,0.75,9,1,0.591,33,NA,MAC,23-9,110.13421414320737,54,98.01587975687372,100,0.7925816626391851,63,12-6,0.5473159057609043,0.49546135929572355,0.5634097080198823,0.6666666666666666,-1.1933216978714243,63
Butler,1,0,0.75,9,2,0.594,30,NA,BE,22-10,109.5788198658851,58,89.82747477294741,10,0.9076825952489286,22,12-6,0.7019246294697308,0.537443101243221,0.8101674166276142,0.6666666666666666,3.6405252015070215,23
Cal Poly,0,0,0.417,5,7,0.485,200,NA,BW,11-16,101.53489497957074,180,99.57703560553229,120,0.5557462867394147,141,6-10,0.5636019741301475,0.6086260688983738,0.5281043529834616,0.375,-8.860624519451411,189
Cal State Bakersfield,0,0,0.667,8,4,0.425,302,NA,WAC,11-19,98.19516821100038,253,105.57832504524308,230,0.3028622441273118,252,7-7,0.35317997423863384,0.4382070698199826,0.26061578526189294,0.5,-14.538405836485683,293
Cal State Fullerton,0,0,0.083,1,9,0.412,314,NA,BW,7-22,97.13888954454586,271,106.6890177794412,256,0.25380345786533404,279,1-15,0.5086496971475595,0.43920439408510953,0.5650740058858,0.0625,-15.831744833663983,310
Cal State Long Beach,0,0,0.583,7,4,0.530,110,NA,BW,14-17,101.69402511000933,176,98.25877437584944,104,0.5975304912715387,129,10-6,0.6503431157086987,0.7944273933324294,0.5230050461148295,0.625,-5.468158617575495,132
