School,Make Tournament,Conference Champ,Last 12 Wins,Conference Finish,RPI Rank,NET Rank,Conference,Record,Adj. Offensive Efficiency,OE Rank,Adj. Defensive Efficiency,DE Rank,Barthag,Barthag Rank,Conference Record,SOS,Non-Conf SOS,Conference SOS,Conference Win %,Wins Above Bubble,WAB Rank
California Baptist,0,0,6,5,205,165,WAC,12-14,105.95583714193765,126,108.06889463065822,267,0.44347135173682284,185,7-9,0.4353553353915499,0.3781048229858134,0.47113690564513544,0.4375,-9.048218118042247,190
Campbell,0,0,9,1,181,223,BSth,17-12,106.32595536593475,123,109.1551932769029,282,0.4250676133401354,193,12-4,0.3889838157480943,0.46668573631803567,0.33750776530292786,0.75,-7.479055870233766,159
Canisius,0,0,7,2,209,282,MAAC,15-17,101.19521455967778,219,110.92823509788496,308,0.25806159762321734,280,11-7,0.3919240625422691,0.5731684291702976,0.2925153234902805,0.6111111111111112,-11.736379613745198,233
Central Arkansas,0,0,4,7,283,297,Slnd,11-19,98.69831399714904,261,110.28443120452873,296,0.21815658838608495,299,8-10,0.4064266018923684,0.6507264295239963,0.2832720281290425,0.4444444444444444,-13.434350349139661,271
Central Connecticut State,0,0,3,10,287,312,NEC,9-20,95.09072523626935,313,111.3411044119323,313,0.14011667638025538,325,5-13,0.36154195660744903,0.5282019368322284,0.2596941909145283,0.2777777777777778,-15.354014532629337,304
Central Florida,1,0,8,3,26,30,Amer,23-8,110.55516642175405,46,93.57764651660995,26,0.8718388002008454,33,13-5,0.6152223035492361,0.46942546712100164,0.7005981660546788,0.7222222222222222,1.9812485167887162,33
Central Michigan,0,0,7,2,115,113,MAC,20-11,109.41821741942817,62,105.13256815350223,207,0.6128921939418387,128,10-8,0.49851010531231654,0.3241042329831435,0.582775226723731,0.5555555555555556,-4.006566329587414,104
Charleston Southern,0,0,8,5,239,197,BSth,13-15,100.57051946404121,230,101.99076316708825,147,0.4597707799833629,180,9-7,0.40816515100635936,0.5571025497374495,0.33559700364351375,0.5625,-9.321895715972376,196
Charlotte,0,0,3,13,305,262,CUSA,8-21,95.06109352916062,314,107.18416311579401,254,0.20095594043294915,306,5-13,0.48245210400714034,0.5249065393844593,0.45650772683211216,0.2777777777777778,-15.432911387610813,305
Chattanooga,0,0,3,5,256,275,SC,9-20,101.6234358721662,207,107.66580120959961,262,0.3397934234607328,230,7-11,0.510937768125716,0.44393268033129435,0.5381518745357604,0.3888888888888889,-12.689962513187254,254
Chicago State,0,0,0,9,337,353,WAC,1-29,88.5331787009209,346,116.88684343372475,349,0.03935307788037572,351,0-16,0.5608297353435974,0.5894513112934807,0.5216027194261768,0,-20.95529668191774,350
Cincinnati,1,1,9,2,18,25,Amer,27-6,111.00159509560035,43,94.41599890933998,31,0.8654241060711847,36,14-4,0.6151329118640295,0.48371089238159465,0.6991092651955371,0.7777777777777778,4.95408669871268,19
Citadel,0,0,3,8,245,274,SC,9-18,105.5882512982814,131,113.80973515255256,339,0.29686300163845175,256,4-14,0.5286711281513841,0.4921667273047117,0.5428477726294885,0.2222222222222222,-10.895012777307189,218
Clemson,0,0,8,8,61,35,ACC,19-13,108.11297862138619,84,89.1957545098607,8,0.9013173578042155,21,9-9,0.7037551373010399,0.553061902293006,0.8038816238371863,0.5,0.03859437740819871,49
Cleveland State,0,0,5,9,314,284,Horz,8-21,101.08624689268856,221,111.13585724142197,309,0.2516254219979994,287,5-13,0.4729975836221738,0.5322372466259718,0.43679556734207503,0.2777777777777778,-15.206659064663762,302
Coastal Carolina,0,0,6,6,207,163,SB,13-16,104.449757994901,152,103.1861115694321,166,0.5349371998744443,152,9-9,0.48550734778196025,0.4702914149564096,0.48900255032981665,0.5,-9.983608557558412,205
Colgate,1,1,10,1,88,132,Pat,23-10,108.76176646182819,70,105.63110587595227,224,0.5831894184873033,139,13-5,0.4070583139907387,0.5056555998952857,0.35783410424031675,0.7222222222222222,-4.394699640516203,111
